state_name,asd_desc,county_ansi,source_desc,state_alpha,county_code,state_fips_code,county_name,statisticcat_desc,CV (%),year,country_code,load_time,end_code,class_desc,domain_desc,watershed_desc,country_name,commodity_desc,domaincat_desc,freq_desc,congr_district_code,region_desc,location_desc,reference_period_desc,week_ending,agg_level_desc,unit_desc,sector_desc,watershed_code,asd_code,group_desc,Value,state_ansi,util_practice_desc,prodn_practice_desc,short_desc,zip_5,begin_code
MICHIGAN,EAST CENTRAL,063,SURVEY,MI,063,26,HURON,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, EAST CENTRAL, HURON",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,60,FIELD CROPS,198.8,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,EAST CENTRAL,145,SURVEY,MI,145,26,SAGINAW,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, EAST CENTRAL, SAGINAW",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,60,FIELD CROPS,169.3,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,EAST CENTRAL,151,SURVEY,MI,151,26,SANILAC,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, EAST CENTRAL, SANILAC",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,60,FIELD CROPS,183.7,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,EAST CENTRAL,157,SURVEY,MI,157,26,TUSCOLA,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, EAST CENTRAL, TUSCOLA",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,60,FIELD CROPS,192,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTHWEST,,SURVEY,MI,998,26,OTHER (COMBINED) COUNTIES,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTHWEST, OTHER (COMBINED) COUNTIES",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,70,FIELD CROPS,160.2,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTHWEST,005,SURVEY,MI,005,26,ALLEGAN,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTHWEST, ALLEGAN",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,70,FIELD CROPS,156.3,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTHWEST,027,SURVEY,MI,027,26,CASS,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTHWEST, CASS",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,70,FIELD CROPS,159.3,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTHWEST,077,SURVEY,MI,077,26,KALAMAZOO,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTHWEST, KALAMAZOO",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,70,FIELD CROPS,143.8,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTHWEST,081,SURVEY,MI,081,26,KENT,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTHWEST, KENT",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,70,FIELD CROPS,170.6,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,SOUTHWEST,139,SURVEY,MI,139,26,OTTAWA,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, SOUTHWEST, OTTAWA",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,70,FIELD CROPS,155.6,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
