domain_desc,short_desc,region_desc,asd_desc,year,sector_desc,congr_district_code,freq_desc,begin_code,zip_5,util_practice_desc,load_time,asd_code,Value,statisticcat_desc,state_name,county_ansi,week_ending,agg_level_desc,CV (%),country_code,county_code,country_name,watershed_desc,watershed_code,state_alpha,commodity_desc,state_ansi,location_desc,group_desc,end_code,prodn_practice_desc,reference_period_desc,source_desc,county_name,class_desc,domaincat_desc,unit_desc,state_fips_code
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,50,114.1,YIELD,MICHIGAN,057,,COUNTY,,9000,057,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, CENTRAL, GRATIOT",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,GRATIOT,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,50,81.8,YIELD,MICHIGAN,073,,COUNTY,,9000,073,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, CENTRAL, ISABELLA",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,ISABELLA,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,50,65.5,YIELD,MICHIGAN,107,,COUNTY,,9000,107,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, CENTRAL, MECOSTA",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,MECOSTA,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,50,101.3,YIELD,MICHIGAN,111,,COUNTY,,9000,111,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, CENTRAL, MIDLAND",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,MIDLAND,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,50,84.8,YIELD,MICHIGAN,117,,COUNTY,,9000,117,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, CENTRAL, MONTCALM",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,MONTCALM,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,50,64.3,YIELD,MICHIGAN,133,,COUNTY,,9000,133,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, CENTRAL, OSCEOLA",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,OSCEOLA,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,EAST CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,60,78.6,YIELD,MICHIGAN,011,,COUNTY,,9000,011,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, EAST CENTRAL, ARENAC",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,ARENAC,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,EAST CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,60,113.3,YIELD,MICHIGAN,017,,COUNTY,,9000,017,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, EAST CENTRAL, BAY",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,BAY,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,EAST CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,60,98.3,YIELD,MICHIGAN,063,,COUNTY,,9000,063,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, EAST CENTRAL, HURON",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,HURON,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
TOTAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,EAST CENTRAL,1992,CROPS,,ANNUAL,00,,GRAIN,2012-01-01 00:00:00.000,60,111.9,YIELD,MICHIGAN,145,,COUNTY,,9000,145,UNITED STATES,,00000000,MI,CORN,26,"MICHIGAN, EAST CENTRAL, SAGINAW",FIELD CROPS,00,ALL PRODUCTION PRACTICES,YEAR,SURVEY,SAGINAW,ALL CLASSES,NOT SPECIFIED,BU / ACRE,26
